System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =    1669046.94 + j -6015368.324
[   2,   1] =   151955.7606 + j  48747.69059
[   3,   1] =   151955.7606 + j  48747.69059
[   4,   1] =  -967.2516195 + j  564.1533135
[   5,   1] =   276.2716966 + j -161.2352875
[   6,   1] =   276.2716966 + j -161.2352875
[   2,   2] =    1669046.94 + j -6015368.324
[   3,   2] =   151955.7606 + j  48747.69059
[   4,   2] =   276.2716966 + j -161.2352875
[   5,   2] =  -967.2516195 + j  564.1533135
[   6,   2] =   276.2716966 + j -161.2352875
[   3,   3] =    1669046.94 + j -6015368.324
[   4,   3] =   276.2716966 + j -161.2352875
[   5,   3] =   276.2716966 + j -161.2352875
[   6,   3] =  -967.2516195 + j  564.1533135
[   4,   4] =   2014.162702 + j -1162.418708
[   5,   4] =  -575.5144604 + j  332.2006619
[   6,   4] =  -575.5144604 + j  332.2006619
[   7,   4] =  -1046.911082 + j  598.2653948
[   8,   4] =   299.2427638 + j -170.9653744
[   9,   4] =   299.2427638 + j -170.9653744
[   5,   5] =   2014.162702 + j -1162.418708
[   6,   5] =  -575.5144604 + j  332.2006619
[   7,   5] =   299.2427638 + j -170.9653744
[   8,   5] =  -1046.911082 + j  598.2653948
[   9,   5] =   299.2427638 + j -170.9653744
[   6,   6] =   2014.162702 + j -1162.418708
[   7,   6] =   299.2427638 + j -170.9653744
[   8,   6] =   299.2427638 + j -170.9653744
[   9,   6] =  -1046.911082 + j  598.2653948
[   7,   7] =   1076.262059 + j -622.7786273
[   8,   7] =  -301.3260972 + j  172.8403744
[   9,   7] =  -301.3260972 + j  172.8403744
[   8,   8] =   1053.577749 + j -605.7653948
[   9,   8] =  -301.3260972 + j  172.8403744
[   9,   9] =   1053.577749 + j -605.7653948
